0,1
1,Introduction ............................................................................................................................... 5
2,Background ................................................................................................................................ 7
2.1,Cross-border payments and the FX market........................................................................ 7
2.2 liabilities,Differences between traditional transactions and transactions using tokenised bank ........................................................................................................................................... 7
3,Implementation of shared ledger and tokenised bank liabilities in transaction banking .... 10
3.1,Key lifecycle stages of traditional cross-border payments............................................... 10
3.2,Design Considerations ...................................................................................................... 15
4,Operating models and considerations .................................................................................... 19
4.1,Changes in operating practices......................................................................................... 19
4.2,Potential operating models .............................................................................................. 23
5,Risk considerations and mitigants .......................................................................................... 24
5.1,Risk Considerations........................................................................................................... 24
5.2,Risk Mitigants.................................................................................................................... 26
6,Case studies and examples ..................................................................................................... 28
6.1,Use-case 1: Ant International .......................................................................................... 28
6.2,Use-case 2: BNY and OCBC............................................................................................... 31
6.3,Use-case 3: HSBC .............................................................................................................. 33
7,Developing standardised documentation for tokenised FX transactions ............................. 36
7.1,Existing industry standards............................................................................................... 36
7.2,Ongoing industry initiatives and regulatory developments ............................................. 37
8,Conclusion ............................................................................................................................... 41
9,References ............................................................................................................................... 43
