Terms,Definition
Agency,"Agency refers to Organs of State, Ministries, Departments and Statutory Boards."
Collection,"Collection refers to the act of gathering, acquiring, or obtaining data from any source, and whether directly or indirectly by any means."
Business data,"Business data refers to data, whether true or not, which are related to an identified or identifiable company or other incorporated or unincorporated body of persons"
Data,Data refers to the representation of information that can be used for communications or processing. Broad categories of data are structured and unstructured data.
Dataset,"A dataset refers to a collection of data which can exist in digital documents (such as Excel files), be stored in ICT systems (such as in databases) or recorded in hardcopy."
Data query,A data query is a request for specific data fields and data records.
Data Security Risk Assessment Methodology,"The Data Security Risk Assessment Methodology guides agencies in the identification, analysis and treatment of data security risks inherent in datasets. As part of the methodology, agencies perform risk assessments to identify data security risks, evaluate the risks, determine the controls to mitigate the risks, assess the effectiveness of the controls implemented and manage the risks within acceptable limits to the agency."
Disclosure,Disclosure refers to making data available to others.
Document,Document refers to information recorded in any form.
Entity,Entity refers to a company or other incorporated or unincorporated body of persons.
Entity data,"Entity data refers to any data, whether true or not, which are related to an identified or identifiable entity."
Government ICT Risk Management Methodology,"The Government ICT Risk Management Methodology guides agencies in the identification, analysis and treatment of cybersecurity and data security risks inherent in systems. Under the methodology framework, agencies perform risk assessments to identify the ICT risks, such as ICT security and data risks to their systems, assess the consequent risks to the Agency, determine the controls to mitigate the risks, and assess the effectiveness of the controls implemented."
Government Risk Management Policy,"The Government Risk Management Policy defines: 1) The Government ICT Risk Management methodology; 2) The standards for managing ICT risks, such as frequencies of audits; and 3) The thresholds for Agencies risk exposures."
ICT system,"ICT System refers to a set of interacting, interrelated, or interdependent ICT hardware, software and data created, accessed, stored, processed or transmitted to serve business functions and support business operations."
Individual,"Individual refers to a natural person, whether living or deceased."
Personal data,"Personal data refers to any data, whether true or not, which are related to an identified or identifiable person."
Privileged access,Privileged access refers to access granted to any user with privileged accounts or holding privileged data roles.
Privileged accounts,"Privileged accounts refers to accounts used by personnel for performing network, system, application-wide, agency-wide, or Whole-of-Government-wide administrative/security activities such as the following: • Creating, modifying, or deleting accounts and their privileges; • Creating, modifying, or deleting security tokens; • Setting, modifying, and removing configurations; • Installing or uninstalling software; or • Accessing, creating, modifying, or deleting system-restricted data. Examples of personnel that uses privileged accounts are system administrators, database administrators, and personnel who administrates for the entire application. These personnel use privileged accounts to perform activities such as account management, cryptographic key management, database administration, network administration, and system administration."
Privileged data role,"Privileged data roles refer to user roles that are able to access, create, modify, or delete data where the data access has not been personally and explicitly granted but gained by the virtue of the roles' job functions that require access to the data platforms and systems that contain the data. Examples of privileged data roles are data scientists and data engineers who have access to data on data platforms and systems for the purpose of data processing etc. System administrators and database administrators who have access to privileged accounts will also be considered as having privileged data roles."
Security classification,"Security Classification refers to classifying information according to the security levels that measure the damage done to national security, or national or Agency interest, in the event of an unauthorised disclosure."
Sensitive,"Sensitive refers to data if leaked could give rise to discrimination or other negative impact on a data subject (e.g. the person's insurability, employability, reputation, etc.)."
Sensitivity classification,"Sensitivity Classification refers to classifying information according to sensitivity levels that measure the damage done to an individual or an organisation, in the event of an unauthorised disclosure."
Use,Use refers to the treatment and handling of data within an agency.
User,Users refers to all Government officers and non-Government personnel who are granted access to Government Resources to perform official work for the Government.
