Computer Networks.Basic Practices,Computer Networks.Basic Practices,Data Lifecycle.Collection,Data Lifecycle.Use,Data Lifecycle.Disclosure,Data Lifecycle.Storage,Data Lifecycle.Archival,Data Lifecycle.Disposal
Equip networks with defence devices such as firewalls to protect your computer network connected to the Internet.,Equip networks with defence devices such as firewalls to protect your computer network connected to the Internet.,,,,,,
"Install endpoint security solutions as defence against malware and maintain up-to-date defence software such as web-proxies, anti-virus/anti-malware andanti-spyware solutions ontheservers to protect your computer network against malicious attacks. Specify follow-up action upon detection of malware.","Install endpoint security solutions as defence against malware and maintain up-to-date defence software such as web-proxies, anti-virus/anti-malware andanti-spyware solutions ontheservers to protect your computer network against malicious attacks. Specify follow-up action upon detection of malware.",,,,,,
"Document configuration settings and review/test these regularly to ensure that they correspond to current requirements such as allowed services, protocols, ports and compensating controls.","Document configuration settings and review/test these regularly to ensure that they correspond to current requirements such as allowed services, protocols, ports and compensating controls.",,,,,,
"Monitor, encrypt and restrict communications between environments to only authenticated and authorised connections, as justified by the business.","Monitor, encrypt and restrict communications between environments to only authenticated and authorised connections, as justified by the business.",,,,,,
Ensure that the firewall ports are closed by default and open them whennecessaryforoperationalpurposes.Conductperiodicreviews of firewall rules to restrict connectivity to only authorised/ servers/IP addresses and close all unused ports.,Ensure that the firewall ports are closed by default and open them whennecessaryforoperationalpurposes.Conductperiodicreviews of firewall rules to restrict connectivity to only authorised/ servers/IP addresses and close all unused ports.,•,•,,•,•,
whitelisted,whitelisted,,,,,,
"Configure web servers securely by turning off services that are not in use (i.e. disable directory listing, disable banner display, disable/block all unnecessary listener services, turn off unused modules and open ports, avoid using default port numbers/ ranges, and restrict access to specified external IP ranges).","Configure web servers securely by turning off services that are not in use (i.e. disable directory listing, disable banner display, disable/block all unnecessary listener services, turn off unused modules and open ports, avoid using default port numbers/ ranges, and restrict access to specified external IP ranges).",,,,,,
"Maintain a list of whitelisted connections to allow connections to only specific, trusted hosts.","Maintain a list of whitelisted connections to allow connections to only specific, trusted hosts.",,,,,,
"Assess the need for remote access to servers such as configuring remotedesktopprotocol(' RDP ') to beopenintheorganisation's networkandexposedtotheInternet.Considerapplyingadditional controls where possible, such as restricting access to specified external IP addresses and ensuring remote desktop is used behind a secure virtual private network (' VPN ').","Assess the need for remote access to servers such as configuring remotedesktopprotocol(' RDP ') to beopenintheorganisation's networkandexposedtotheInternet.Considerapplyingadditional controls where possible, such as restricting access to specified external IP addresses and ensuring remote desktop is used behind a secure virtual private network (' VPN ').",,,,,,
Log and review all RDP login attempts.,Log and review all RDP login attempts.,,,,,,
Enhanced Practices,Enhanced Practices,,,,,,
"Implement an intrusion prevention system (' IPS ') solution, which isadeviceorsoftwareapplicationthatmonitorsnetworkorsystem activities and prevents malicious activities or policy violations.","Implement an intrusion prevention system (' IPS ') solution, which isadeviceorsoftwareapplicationthatmonitorsnetworkorsystem activities and prevents malicious activities or policy violations.",,,,,,
"Implement an intrusion detection system (' IDS '), which is a network security appliance that monitors network and system activities for malicious activities and may raise alerts upon detecting unusual activities.","Implement an intrusion detection system (' IDS '), which is a network security appliance that monitors network and system activities for malicious activities and may raise alerts upon detecting unusual activities.",•,•,,•,•,
